question,res_w_ref_i9,res_w_ref_i8,res_w_ref_i6,res_w_ref_i7,res_w_ref_i5,res_w_ref_i4,res_w_ref_i0,res_w_ref_i1,res_w_ref_i3,res_w_ref_i2,res_w_ref_i10,res_wo_ref_i8,res_wo_ref_i9,res_wo_ref_i4,res_wo_ref_i5,res_wo_ref_i7,res_wo_ref_i6,res_wo_ref_i2,res_wo_ref_i3,res_wo_ref_i1,res_wo_ref_i0,res_wo_ref_i10,res_w_ref_i9_acc,res_w_ref_i8_acc,res_w_ref_i6_acc,res_w_ref_i7_acc,res_w_ref_i5_acc,res_w_ref_i4_acc,res_w_ref_i0_acc,res_w_ref_i1_acc,res_w_ref_i3_acc,res_w_ref_i2_acc,res_w_ref_i10_acc,res_wo_ref_i8_acc,res_wo_ref_i9_acc,res_wo_ref_i4_acc,res_wo_ref_i5_acc,res_wo_ref_i7_acc,res_wo_ref_i6_acc,res_wo_ref_i2_acc,res_wo_ref_i3_acc,res_wo_ref_i1_acc,res_wo_ref_i0_acc,res_wo_ref_i10_acc,type,level
Emma Rose Kenney's roll in a Blue Sky Studios produced film earned how much money?,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,Unknown.,$268 million,$268 million.,$268 million.,Unknown.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bridge,medium
The Colts' first ever draft pick was a halfback who won the Heisman Trophy in what year?,1952,,1952,1952,1952,1952,1952,1952,1952,1952,1952,1953,1953,1953,1952,1953,1953,1952,1953,1952,1952,1953,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,medium
What was the 2011 population of the unitary authority area that includes the village Eastoft?,Data not provided,"167,446",Not available.,Not specified,Not mentioned.,No population data available.,The population of the unitary authority area that includes the village Eastoft is not mentioned in the provided context.,Not mentioned.,0,Not recorded,Data not provided.,The 2011 population of the unitary authority area that includes the village Eastoft is 0.,No residents recorded.,"167,446",No residents recorded.,No residents recorded,No residents recorded.,No residents recorded,"167,446","167,446","167,446",No residents recorded.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bridge,medium
Who released the album with a single which originally reached number 60 on the UK Singles Chart in 1997?,Cornershop,Cornershop,Cornershop,Cornershop,Cornershop,Cornershop,Cornershop,Cornershop,Cornershop,Cornershop,Cornershop,Cornershop,Cornershop,Wiiija,Cornershop,Freak Power,Cornershop,Cornershop,Cornershop,Cornershop,Wiiija,Cornershop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,medium
Wayne's World featured the actor who was a member of what Chicago comedy troupe?,The State,The State,The State,The State,The State,The State,The State,The State,The Second City Theatre.,The State,The State,The State,The State,The State,The State,The State,The State,The State,The State,Second City Theatre,Second City Theatre,The State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,bridge,medium
"Who released their second album with a band from Louisville, Kentucky?",My Morning Jacket,My Morning Jacket,My Morning Jacket,My Morning Jacket,My Morning Jacket,My Morning Jacket,My Morning Jacket,My Morning Jacket,My Morning Jacket,My Morning Jacket,My Morning Jacket,Andrew Bird,Andrew Bird,Andrew Bird,Andrew Bird,Andrew Bird,Andrew Bird,Andrew Bird,Andrew Bird,Andrew Bird,Andrew Bird,Andrew Bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,medium
"The university who was led to six national championships by Paul ""Bear"" Bryant, had its first ever Heisman Trophy winner drafted by what NFL team?",New Orleans Saints,New Orleans Saints,New Orleans Saints,New Orleans Saints,New Orleans Saints,New Orleans Saints,New Orleans Saints,New Orleans Saints,New Orleans Saints,New Orleans Saints,New Orleans Saints.,Washington Football Team,Washington Football Team,New Orleans Saints,Washington Football Team,New Orleans Saints,Washington Football Team,New Orleans Saints,New Orleans Saints,New Orleans Saints,New Orleans Saints,Washington Football Team,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
Where is the company based that sold Vodafone it's New Zealand operations?,Chicago,"Atlanta, Georgia",Wellington,Unknown,"Atlanta, Georgia","Atlanta, Georgia","Atlanta, Georgia","Atlanta, Georgia","Atlanta, Georgia","Atlanta, Georgia","Chicago, Illinois.","Atlanta, Georgia",New Zealand,New Zealand,"BellSouth is based in Atlanta, Georgia.",New Zealand,"Atlanta, Georgia.","Atlanta, Georgia","Atlanta, Georgia","Atlanta, Georgia","Atlanta, Georgia","Atlanta, Georgia.",0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,medium
Silent Möbius is heavily influenced by the movie directed by whom?,Blade Runner,Blade Runner,There is no specific movie mentioned in the context that heavily influences Silent Möbius.,There is no information available about Silent Möbius being influenced by a specific movie or director.,Incorrect. Silent Möbius is not heavily influenced by any specific movie or director.,Ridley Scott,Ridley Scott,Ridley Scott,Blade Runner,Ridley Scott,James Cameron,Blade Runner,Blade Runner,Blade Runner,Ridley Scott,Blade Runner,Titanic,Ridley Scott,Ridley Scott,Ridley Scott,Ridley Scott,Titanic,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
Maurice Hines and his brother were famous for what?,Dancing.,Dancing,Dance.,Dance,Dance,Dancing,dancing,dancing,Dancing,dancing,Dance,Dancing,Dance.,Dancing,Dancing,Dancing,Dance.,dancing,Dancing,dancer Gregory Hines,dancer Gregory Hines,Dance.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,hard
"Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?",England,England,England,,England,"Neither Prince William, Duke of Gloucester, nor Prince George of Denmark became monarchs.",Great Britain,England,England,England,England,England,England,England,England,Great Britain,England,Great Britain,Great Britain,Great Britain,Great Britain,England,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,easy
What type of vegetation does Kniphofia and Baptisia have in common?,Herbaceous,Herbaceous,Herbaceous.,Herbaceous.,herbaceous,Herbaceous,herbaceous,herbaceous,None.,herbaceous,Herbaceous,Grass-like leaves,Herbaceous,Herbaceous,Herbaceous,Herbaceous,Both Kniphofia and Baptisia have herbaceous vegetation.,plant,Herbaceous,plant,plant,Herbaceous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,comparison,hard
The Pineground Bridge formerly carried Depot Road over the Suncook River into a town with a population of what?,Unknown.,"2,523",Population unknown.,"2,523",Unknown,Unknown.,"2,523","2,523","2,523","2,523",Unknown.,"2,523",Unknown,Unknown,"2,523","2,523",Unknown.,"2,523",The population is not mentioned in the given context.,"2,523","2,523",Unknown.,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,hard
"Which city is the American rock band, that released their album on March 19, 2012, from?","Portland, Oregon","Portland, Oregon","Portland, Oregon",Unknown,Not specified.,No city specified.,"Apologies, but I could not find any specific information in the provided context about the city of origin for the American rock band that released their album on March 19, 2012.",Unknown,"Albuquerque, New Mexico.","Portland, Oregon",London,"Albuquerque, New Mexico",London,"Albuquerque, New Mexico",Albuquerque,London,"Albuquerque, New Mexico",London,"Albuquerque, New Mexico",London,"Albuquerque, New Mexico",London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,bridge,hard
"Which tennis player has received a higher World singles ranking, Xavier Malisse or Virginia Wade?",Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,Virginia Wade,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,medium
When was the  Prime Minister of India after which V. K. Krishna Menon was regarded as the second most powerful man in India born?  ,14 November 1889,14 November 1889,14 November 1889,14 November 1889,14 November 1889,14 November 1889,14 November 1889,14 November 1889,14 November 1889,14 November 1889,14 November 1889,14 November 1889,14 November 1889,14 November 1889,14 November 1889,"Jawaharlal Nehru was born on November 14, 1889.",14 November 1889,14 November 1889,14 November 1889,14 November 1889,14 November 1889,Jawaharlal Nehru (14 November 1889),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,hard
Robinsons and Pocari Sweat are both what kind of product?,Beverages.,Beverages.,Drinks.,Beverages,Drink.,drink,beverages,Beverages.,beverages,drinks,Drinks,Beverages.,Drinks.,Beverages.,Beverages.,Beverages,Beverages,Drink,beverages,Beverages.,drink,Beverages,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,medium
 Is Advanced Micro Devices or Level 3 Communications headquartered further west?,Advanced Micro Devices,Advanced Micro Devices,Advanced Micro Devices,Advanced Micro Devices,Advanced Micro Devices,Advanced Micro Devices,Advanced Micro Devices,Advanced Micro Devices,Advanced Micro Devices.,Advanced Micro Devices,Advanced Micro Devices.,Level 3 Communications,Level 3 Communications,Advanced Micro Devices,Advanced Micro Devices,Level 3 Communications,Level 3 Communications,Advanced Micro Devices,Level 3 Communications,Advanced Micro Devices,Advanced Micro Devices,Level 3 Communications,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,comparison,hard
"Yukio Mishima and Roberto Bolaño, are Chilean?",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,no,No.,No.,No.,No.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,easy
"Which was halted by a natural disaster, Camlaren Mine or Barton Mine?",Camlaren Mine,Camlaren Mine,Camlaren Mine,Camlaren Mine,Camlaren Mine,Camlaren Mine,Camlaren Mine,Camlaren Mine,Camlaren Mine,Camlaren Mine,Camlaren Mine,Camlaren Mine,Camlaren Mine,Barton Mine,Barton Mine,Camlaren Mine,Barton Mine,Camlaren Mine,Camlaren Mine,Barton Mine,Barton Mine,Camlaren Mine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,comparison,hard
What two skills do Lee Hong-gi and Dee Snider have in common?,Singing and songwriting.,Singing and songwriting.,"singer-songwriter, actor","Singing, songwriting.","singing, acting","singing, acting","singer-songwriter, actor","singing, songwriting","singer-songwriter, actor","singer-songwriter, actor","Singing, songwriting",Singing and songwriting.,Singing and songwriting.,"singer-songwriter, actor","singing, songwriting","Singing, songwriting.",Singing and acting.,"singer-songwriter, actor","singer-songwriter, actor",Singing and songwriting.,"singer-songwriter, actor",Singing and songwriting.,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,comparison,hard
Do filmmakers Chris Carter and Theo van Gogh share the same nationality?,No.,No.,No.,No.,No.,No.,no,no,No.,No.,No.,No.,No,No,No.,No.,No,No.,No.,no,No.,No.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,medium
Mike Gibbons won the middleweight championship after the previous champion was found murdered where?,Missouri.,"Ranch in Conway, Missouri.","Conway, Missouri.","Kansas City, Missouri.","Conway, Missouri.","Conway, Missouri.",Missouri,Missouri.,"Conway, Missouri.","Conway, Missouri.",Stanley Ketchel was found murdered.,"Conway, Missouri","Mike Gibbons won the middleweight championship after Stanley Ketchel was found murdered in Conway, Missouri.",Stanley Ketchel was found murdered.,Missouri,Stanley Ketchel was found murdered.,Missouri.,Missouri,Missouri.,Missouri.,Missouri,Stanley Ketchel was found murdered.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,easy
What connection does the private liberal arts college known for its distinctive curriculum centered on reading and discussing the Great Books of Western Civilization have to] EnVISIONing Annapolis? ,Co-sponsor,Contributor and co-sponsor,Co-sponsor,Unclear,Unknown,Contributor and co-sponsor,No specific connection is mentioned in the provided context.,No specific connection mentioned in the context.,Co-sponsor,There is no specific connection mentioned in the context.,Co-sponsor,Co-sponsor,Co-sponsor,St. John's College was a co-sponsor of EnVISIONing Annapolis.,Co-sponsor,Co-sponsor,Co-sponsor,Contributors and co-sponsors,Co-sponsors,Important contributors and co-sponsors,Contributors and co-sponsors.,Co-sponsor,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,easy
Are San Diego International Airport and McCarran International Airport located in the same state?,No.,No.,No.,No.,No.,No.,no,no,No.,no,No.,No.,No.,No.,No.,No.,No.,no,No.,No.,no,No.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,medium
"Where are the metalcore band from, that released second full-length album titled Rage?","Atlanta, Georgia",Attila,Attila,Attila,"Atlanta, Georgia.","Atlanta, Georgia","Atlanta, Georgia.","Atlanta, Georgia.","Atlanta, Georgia","Atlanta, Georgia","Atlanta, Georgia","Atlanta, Georgia.","Atlanta, Georgia",Attila,"Atlanta, Georgia","Atlanta, Georgia",Attila,"Atlanta, Georgia","Atlanta, Georgia","Atlanta, Georgia","Atlanta, Georgia","Atlanta, Georgia.",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bridge,easy
What professor of mathematics authored the book Fashionable Nonsense?,Alan Sokal,No professor of mathematics authored the book Fashionable Nonsense.,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,Alan Sokal,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,easy
What tribe what American Horse a part of?,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota.,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,Oglala Lakota,American Horse was part of the Oglala Lakota tribe.,Oglala Lakota,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,easy
"On which station could you have watched the actor from ""My Fair Lady"" play a character in ""I Can Hear Your Voice""? ",SBS,SBS,SBS,SBS,SBS,SBS,SBS,SBS,SBS,SBS,Unknown,SBS,EBS,SBS,SBS,SBS,EBS,SBS,SBS,SBS,SBS,EBS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,easy
"Steve Jones and Blag Dahlia, have which occupation in common?",Musicians.,Musician,Musician,Musician,Musician.,singer,singer,singer,singer,singer,Musician.,Musician,Musician,Musician,Musician,Musician,Musician,singer,singer,singer,singer,Musician,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,comparison,easy
"This American actor who starred in ""Veep"" was also in an action comedy film directed by Seth Rogen and Evan Goldberg heavily inspired by what?",Kim Jong-un,Kim Jong-un,North Korean leader Kim Jong-un,Vice documentary,North Korean leader Kim Jong-un.,Kim Jong-un documentary,a Vice documentary,a Vice documentary,North Korean leader Kim Jong-un.,North Korean leader Kim Jong-un.,Randall Park,Kim Jong-un,North Korean leader Kim Jong-un,a Vice documentary,North Korean leader Kim Jong-un,Kim Jong-un documentary,North Korean leader Kim Jong-un.,The Interview,North Korean leader Kim Jong-un.,a Vice documentary,a Vice documentary,Kim Jong-un,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,bridge,hard
In which films does Disha Patani who starred in M.S. Dhoni: The Untold Story appear?,"Loafer, Befikra, Baaghi 2","Baaghi 2, Loafer, Befikra","Baaghi 2, Loafer, Befikra, Kaun Tujhe","Baaghi 2, Loafer, Befikra, and M.S. Dhoni: The Untold Story.","Baaghi 2, Loafer (2015 film)","Befikra, Loafer (2015 film), Baaghi 2, M.S. Dhoni: The Untold Story",Hindi and Telugu films,"Loafer, Befikra, Baaghi 2, and an untitled 2016 Hindi film.","Baaghi 2, Loafer (2015 film), Befikra","Baaghi 2, Loafer, and Befikra.","Loafer, Befikra, Baaghi 2","Loafer (2015 film), Baaghi 2, Befikra, Kaun Tujhe","Baaghi 2, Loafer, Befikra, and the untitled 2016 Hindi Film.","Loafer, Befikra, Baaghi 2, Kaun Tujhe, and M.S. Dhoni: The Untold Story","Befikra, Loafer (2015 film), Baaghi 2","Baaghi 2, Loafer (2015 film), Befikra","Baaghi 2, Loafer, Befikra, Kaun Tujhe","Loafer, Befikra, Baaghi 2, and M.S. Dhoni: The Untold Story",Baaghi 2 and Loafer,Hindi and Telugu films,Hindi and Telugu films,"Baaghi 2, Loafer (2015 film), Befikra, and Kaun Tujhe.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,bridge,easy
Are Clarence Brown and Peter Glenville of the same nationality?,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,no,No.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,medium
"A major character in the 2000 novel ""Storm Front"" had her name changed to what when the novel series was adapted for television?",Karrin Murphy,Connie Murphy,Connie Murphy,Karrin Murphy,Karrin Murphy,Connie Murphy,Connie Murphy,Connie Murphy,Connie Murphy,Connie Murphy,Karrin Murphy,Karrin Murphy,Karrin Murphy,Karrin Murphy,Connie Murphy,Karrin Murphy,Connie Murphy,Connie Murphy,Connie Murphy,Connie Murphy,Connie Murphy,Karrin Murphy,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",Water,Water,Water,Water,water,water,alcohol,alcohol,water,water,Water,Water,Water,Water,Water,Alcohol,Water,alcohol,alcohol,alcohol,alcohol,Water,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
"Human Error"" is the season finale of the third season of a tv show that aired on what network?",Fox,Fox,Fox,Fox,Fox,Fox,Fox,Fox,Fox,Fox,Fox,House,House,Fox,House,House,Fox,Fox,Fox,Fox,Fox,House,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,Japanese rule,Japanese rule,Japanese rule,Japanese rule,Japanese rule.,Japanese colonial rule.,World War II,Japanese colonial rule.,World War II,World War II,Japanese rule,World War II,World War II,World War II,World War II,World War II,Japanese colonial rule,World War II,World War II,World War II,World War II,Japanese rule,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
What actor in the film D.C. Cab also had a role in the TV series Barney Miller?,Gary Busey,Max Gail,Max Gail,Max Gail,Max Gail,Gary Busey,Max Gail,Gary Busey,Whitman Mayo,Max Gail,Max Gail,Whitman Mayo,Max Gail,Abe Vigoda,Gary Busey,Abe Vigoda,Max Gail,Max Gail,Max Gail,Max Gail,Max Gail,Abe Vigoda,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
The Bass Rock Lighthouse was next to what Castle?,Tantallon Castle,Tantallon Castle,There is no specific castle mentioned in the context.,Tantallon Castle,No Castle,There is no castle next to the Bass Rock Lighthouse.,Tantallon Castle,Tantallon Castle,Bass Rock Castle.,There is no specific castle next to the Bass Rock Lighthouse.,No castle.,Tantallon Castle,Tantallon Castle,Tantallon Castle,Tantallon Castle,Tantallon Castle,Tantallon Castle,Tantallon Castle,Tantallon Castle.,Tantallon Castle,Tantallon Castle,Tantallon Castle,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,medium
"The largest ship in the ""Imperator"" class ocean liners had how many gross register tons?","50,938",Unknown.,"Approximately 56,551.","56,551 gross register tons.","61,428.","56,551","56,551","56,551.","50,000","56,551",Unclear from the given context.,"The largest ship in the ""Imperator"" class ocean liners had 52,117 gross register tons.","The largest ship in the ""Imperator"" class ocean liners had 51,680 gross register tons.","56,551","The largest ship in the ""Imperator"" class ocean liners had 52,117 gross register tons.","The largest ship in the ""Imperator"" class ocean liners had 52,117 gross register tons.","56,551 gross register tons.","56,551","56,551","56,551","56,551","The largest ship in the ""Imperator"" class ocean liners had 51,900 gross register tons.",0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
"The republic with the smallest population of all the members of the Council of Europe is one of few places in Europe where a species of beetle cannot be found, that wew originally described in 1809 by whom?",Panzer,No such information is provided in the given context.,San Marino,No specific species of beetle is mentioned in the given context.,Panzer,Panzer,Panzer,I apologize for the confusion. The species of beetle originally described in 1809 is Agonum fuliginosum.,Panzer,Panzer,San Marino,Agonum fuliginosum,Agonum fuliginosum,Panzer,Panzer,Panzer,Agonum fuliginosum,Panzer,Panzer,Panzer,Panzer,Agonum fuliginosum,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
The First Silesian war was fought against the King of Prussia who died in what year?,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786,N/A (The King of Prussia did not die during the First Silesian War),1786,1786,1740,1786,1786,1786,1786,1786,1786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,medium
The Colombian airline that has been the national airline and flag carrier of Colombia since 1919 is wholly owned by a company headquartered in what country?,Colombia,Ecuador.,Ecuador.,Ecuador,Brazil,Brazil,Brazil.,Brazil,Brazil,Brazil.,Ecuador.,Brazil.,South America.,Brazil,Brazil.,South America,Brazil,Brazil,Brazil,Brazil.,Brazil,South America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,medium
The 32nd TCA Awards were hosted by a  Mexican actor best known for his roles as Fernando Mendiola in what?,Jaime Camil.,La Fea Mas Bella,La Fea Mas Bella.,La Fea Mas Bella,La Fea Mas Bella,La Fea Mas Bella,La Fea Mas Bella.,La Fea Mas Bella,La Fea Mas Bella.,La Fea Mas Bella,Jaime Camil.,Jaime Camil.,Jaime Camil,Jaime Camil,Jaime Camil,La Fea Mas Bella,Jaime Camil,La Fea Mas Bella,La Fea Mas Bella,La Fea Mas Bella,La Fea Mas Bella,"""La Fea Mas Bella""",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bridge,medium
"What is the nationality of the actor who starred as Rene Russo's husband in the 1997 movie ""Buddy""?",American,Scottish,I do not have enough information to accurately answer the question.,Scottish,Unknown,Scottish,Scottish,Scottish,Unknown,Scottish,Scottish.,Scottish,Scottish,Scottish,Scottish,British.,Scottish,Scottish,Scottish.,Scottish,Scottish,Robbie Coltrane is Scottish.,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,medium
