question,extracted_sentences
"What club did  a Swiss footballer primarily recognised as a right-back who signed for a professional football club in 2013 based in Old Trafford, Greater Manchester, England ?","['Saidy Janko (born 22 October 1995) is a Swiss footballer who plays for French club Saint-Étienne.', 'Manchester United Football Club is a professional football club based in Old Trafford, Greater Manchester, England, that competes in the Premier League, the top flight of English football.']"
Do Danny Shirley and James Dean Bradfield play in the same band?,"[' He is best known as the lead singer of the country rock band Confederate Railroad, a role he has held since its formation in 1987.', ' He is known for being the lead guitarist and lead vocalist for the Welsh alternative rock band Manic Street Preachers.']"
"The metafamily of graphical operating systems developed, marketed, and sold by Microsoft offers what kind of help to musicians?","['WinSingad is a Microsoft Windows based software for singing training.', 'Microsoft Windows, or simply Windows, is a metafamily of graphical operating systems developed, marketed, and sold by Microsoft.']"
What type of band did a cover of a single that sold two million copies from 1969 to 1970?,"['Doctor and the Medics are an English glam rock band formed in London in 1981.', ' The group received their great success during the 1980s and are best known for their cover of Norman Greenbaum\'s ""Spirit in the Sky"", the group\'s hit single which reached No. 1 in the UK singles charts.', ' The single became a gold record, selling two million copies from 1969 to 1970 and reached number three on the US ""Billboard"" Hot 100 chart (April 18, 1970), where it lasted for 15 weeks in the Top 100.']"
What is the connection between Félix du Temple de la Croix and Early flying machines?,"[' He developed some of the first flying machines and is credited with the first successful flight of a powered aircraft of any sort, a powered model plane, in 1857, and is sometimes credited with the first manned powered flight in history onboard his Monoplane in 1874,', 'Early flying machines include all forms of aircraft studied or constructed before the development of the modern aeroplane by 1910.']"
What American businessman and guided the character Epick Mickey?,"[' The character was regained by The Walt Disney Company in 2006 under the guidance of Bob Iger.', 'Robert Allen Iger ( ; born February 10, 1951) is an American businessman who is chairman and chief executive officer (CEO) of The Walt Disney Company.']"
"Closer to the Sun is the third studio album by Australian singer-songwriter Guy Sebastian, released on 28 October 2006 by Sony BMG Australia, some tracks that appear on the album were premiered at the free concert, on 27 September 2006, at Federation Square,  a mixed-use development in the inner city of Melbourne, it is located at the intersection of Flinders Street and Swanston Street/St Kilda Road in the city's Central Business District, adjacent which location?","[' Some tracks that appear on the album were premiered at the free concert at Federation Square on 27 September 2006.', "" Built on a concrete deck above busy railway lines, it is located at the intersection of Flinders Street and Swanston Street/St Kilda Road in the city's Central Business District, adjacent to Flinders Street railway station.""]"
"Dicksonia and Hardenbergia, are found in Australia?","['Dicksonia is a genus of tree ferns in the order Cyatheales.', 'Hardenbergia is a small genus of leguminous vines from Australia.']"
What's the difference between Texas Monthly nd Lucky?,"[' ""Texas Monthly"" was founded in 1973 by Michael R. Levy and has been published by Emmis Publishing, L.P. since 1998 and now owned by Genesis Park, LP.', 'Lucky was a fashion and lifestyle magazine founded by Kim France and first published in 2000 under the Condé Nast subsidiary.']"
Do the magazines Femina and Take a Break have a similar readership?,"['Femina is a Danish language weekly magazine for women published by Aller Media in Copenhagen, Denmark.', 'Take a Break is a weekly magazine aimed at women, currently published in the United Kingdom by H Bauer Publishing, the UK subsidiary of the German-owned family business, the Bauer Media Group since 1 March 1990.']"
What is a similarity between the Cairn Terrier and the German Hound?,"[' The German Hound is of the scenthound type, used for hunting both large and small game.', "" The breed was given the name Cairn, because the breed's function was to hunt and chase quarry between the cairns in the Scottish highlands.""]"
Are the Lancashire Heeler and the Glen of Imaal Terrier both listed by the Kennel Club (UK) as a vulnerable breed?,"[' The Lancashire Heeler is listed by the Kennel Club (UK) as a vulnerable breed.', 'The Glen of Imaal Terrier () is a breed of dog of the terrier category and one of four Irish terrier breeds.', ' It is sometimes called the Irish Glen of Imaal Terrier or the Wicklow Terrier, and the name of the breed is often shortened by fanciers to just Glen.']"
"Barnes v. Glen Theatre, Inc. and Michigan v. EPA, are related to which mutual organization?","['Barnes v. Glen Theatre, Inc., 501 U.S. 560 (1991) , is a landmark decision of the Supreme Court of the United States concerning the First Amendment and the ability of the government to outlaw certain forms of expressive conduct.', 'Michigan v. Environmental Protection Agency, 576 U.S. ___ (2015) , was a landmark United States Supreme Court case in which the Court analyzed whether the Environmental Protection Agency must consider costs when deciding to regulate, rather than later in the process of issuing the regulation.']"
"Hans Schlegel and Reinhard Furrer, are German, of which mutual occupations?","['Hans Wilhelm Schlegel (Überlingen, 3 August 1951) is a German physicist, an ESA astronaut, and a veteran of two NASA Space Shuttle missions.', 'Prof. Dr. Reinhard Alfred Furrer (25 November 1940 – 9 September 1995) was a German physicist and astronaut.']"
"Which has a distinct summit, Saraghrar or Trivor?","[' Its distinct summits are poorly identified, and information gathered from expeditions that have visited the area is often misleading.', 'Trivor (Urdu: ترِووُر\u200e ) is one of the high peaks of the Hispar Muztagh, a subrange of the Karakoram range in the Gilgit-Baltistan of Pakistan.']"
"Main Line of Public Works and Sacramento Deep Water Ship Channel, are in the United States?","['The Main Line of Public Works was a package of legislation supporting a vision passed in 1826 — a collection of various long proposed canal and road projects that became a canal system (1824 proposals and studies) and later added railroads (amendments in 1828) designed to cross the breadth of Pennsylvania (mainly, southern) with the visionary goal of providing the best commercial means of transportation between Philadelphia and Pittsburgh.', 'The Sacramento Deep Water Ship Channel (also known as Sacramento River Deep Water Ship Channel or SRDWSC) is a canal from the Port of Sacramento in West Sacramento, California to the Sacramento River, which flows into San Francisco Bay.']"
"Who is affiliated with the University of Engineering and Technology, Taxila, Center for Advanced Studies in Engineering or Temple University?","['The Center for Advanced Studies In Engineering (CASE), is a private research college located in the suburb of Islamabad, Pakistan.', ' CASE is affiliated with the University of Engineering and Technology, Taxila.', 'Temple University (Temple or TU) is a state-related doctoral university located in Philadelphia, Pennsylvania, United States.']"
"Which rock band has more members, Skillet or Portugal. The Man?","[' The band currently consists of husband John (lead vocals, bass) and wife Korey Cooper (rhythm guitar, keyboards, backing vocals) along with Jen Ledger (drums, vocals) and Seth Morrison (lead guitar).', "" The group consists of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk.""]"
"MedStar Georgetown University Hospital and Walter Reed Army Medical Center, are both which type of medical facilities?","[""MedStar Georgetown University Hospital is one of the national capital area's oldest academic teaching hospitals."", ""The Walter Reed Army Medical Center (WRAMC) — known as Walter Reed General Hospital (WRGH) until 1951 — was the U.S. Army's flagship medical center from 1909 to 2011.""]"
What job did both Elizabeth Bishop and Nelson DeMille have?,"['Elizabeth Bishop (February 8, 1911 – October 6, 1979) was an American poet and short-story writer.', 'Nelson Richard DeMille (born August 23, 1943) is an American author of action adventure and suspense novels.']"
"Pachystegia and Passiflora, are in the family of Passifloraceae?","['Pachystegia is a genus of shrubs in the daisy family described as a genus in 1925.', 'Passiflora, known also as the passion flowers or passion vines, is a genus of about 500 species of flowering plants, the type genus of the family Passifloraceae.']"
"Tampa International Airport and John F. Kennedy International Airport, are national airports?","['Tampa International Airport (IATA: TPA, ICAO: KTPA, FAA LID: TPA) is a public airport six miles west of Downtown Tampa, in Hillsborough County, Florida, United States.', 'John F. Kennedy International Airport (IATA: JFK, ICAO: KJFK, FAA LID: JFK) , often referred to as Kennedy Airport, or simply JFK, is the primary international airport serving New York City.']"
What is the difference between Stachyurus and Cucumis?,"[' Stachyuraceae contains a single genus with eight species.', 'Cucumis is a genus of twining, tendril-bearing plants in the Cucurbitaceae family which includes the cucumber (""Cucumis sativus""), muskmelons (""Cucumis melo"", including cantaloupe and honeydew), the horned melon (""Cucumis metuliferus""), and the West Indian gherkin (""Cucumis anguria"").']"
"Shirley Manson and Mark Slaughter, have which mutual occupation?","['Shirley Ann Manson (born 26 August 1966) is a Scottish singer, songwriter and actress.', 'Mark Allen Slaughter (born July 4, 1964) is an American singer and musician.']"
"Gregg Rolie and Rob Tyner, are a keyboardist?","['Gregg Alan Rolie (born June 17, 1947, Seattle, Washington, United States) is an American singer and keyboardist.', 'Robert W. Derminer (December 12, 1944 – September 18, 1991), known as Rob Tyner, was an American musician best known as lead singer for the Detroit proto-punk band, MC5.']"
"Trey Anastasio and Glenn Bidmead, have which mutual occupation?","['Ernest Joseph ""Trey"" Anastasio III ( , born September 30, 1964) is an American guitarist, composer, and vocalist noted for his work with the band Phish, and his solo career, including the Trey Anastasio Band and the orchestral ""Evenings with Trey Anastasio"" performed with the New York Philharmonic, the Los Angeles Philharmonic, the Atlanta Symphony Orchestra, the Baltimore Symphony, the Pittsburgh Symphony, and the Colorado Symphony.', 'Glenn Keith Bidmead (born 3 February 1962) is a Sydney-based singer, songwriter, guitarist, performer and producer.']"
"Jean Epstein and Tim Whelan, are French?","['Jean Epstein (] ; March 25, 1897 – April 2, 1953) was a French filmmaker, film theorist, literary critic, and novelist.', 'Tim Whelan (November 2, 1893 – August 12, 1957) was an American film director, writer, producer and actor best remembered for ""The Thief of Bagdad"" (1940).']"
"Billy Bob Thornton and Gene Saks, are Americans that have which occupation in common?","['William Robert ""Billy Bob"" Thornton (born August 4, 1955) is an American actor, filmmaker, singer, songwriter, and musician.', 'Gene Saks (November 8, 1921 – March 28, 2015) was an American stage, film director, and actor.']"
Do we know for a fact that Alfred L. Werker directed more films than Jon Jost?,"['Alfred L. Werker (December 2, 1896 – July 28, 1975) was a film director whose work in movies spanned from 1917 through 1957.', ' After a number of film production jobs and assistant directing, Werker co-directed his first film, ""Ridin\' the Wind"" in 1925 alongside director Del Andrews.', ' He was brought in by Fox Film Corporation executives to re-shoot and re-edit Erich von Stroheim\'s film ""Hello, Sister!', '"" (1933), co-starring Boots Mallory and ZaSu Pitts.', 'Jon Jost (born 16 May 1943 in Chicago) is an American independent filmmaker.']"
"Who has spent more time in the heavy metal music industry, Kevin DuBrow or Lance King?","['Kevin Mark DuBrow (October 29, 1955 November 19, 2007) was an American heavy metal singer, best known as the lead vocalist of the heavy metal band Quiet Riot from 1975 until 1987, and again from 1990 until his death in 2007.', 'Lance King (born November 23, 1962) is an American heavy metal vocalist specializing in melodic rock progressive and power metal.', ' Lance has sung with many groups over the last 35 years and started the record label Nightmare in 1990 to release his own music and is presently still at the helm of the label.']"
Does the London Avenue Canal or  Riverside Canal run through the 4th ward?,"['The London Avenue Canal is a drainage canal in New Orleans, Louisiana, used for pumping rain water into Lake Pontchartrain.', ' The Canal runs through the 7th Ward of New Orleans from the Gentilly area to the Lakefront.', "" The London Avenue Canal's flood walls built atop earthen levees breached on both sides during Hurricane Katrina in 2005."", ' The canal and diversion dam is the southernmost system on an irrigation project extending along the Rio Grande in New Mexico and Texas.']"
"Between the Lime and the Exochorda, which can be expected to have more variety between individual plants?","['Exochorda is a small genus of flowering plants in the family Rosaceae, native to China and central Asia (Turkestan).', ' Numerous species have been described on the basis of differing appearance and geographical separation, but a systematic study revealed that the different types are closely related and probably all descended from a single species that formerly had a wide distribution that has been fragmented by habitat loss.', 'A lime (from French ""lime"", from Arabic ""līma"", from Persian ""līmū"", ""lemon"") is a hybrid citrus fruit, which is typically round, lime green, 3 – in diameter, and contains acidic juice vesicles.']"
"Which is a higher level city, Yuxi or Lufeng, Guangdong?","[""Yuxi () is a prefecture-level city in the Yunnan province of the People's Republic of China."", 'Lufeng, formerly romanized as Lukfung, is a county-level city in Guangdong, China, administered as a part of the prefecture-level city of Shanwei.']"
Are Puyang and Pu'er City located in the same country?,"[""Puyang is a prefecture-level city in northeastern Henan province, People's Republic of China."", ""Pu'er () is a prefecture-level city in southern Yunnan Province, China.""]"
"Which university was founded earlier, Lehigh University or University of Iowa?","[' It was established in 1865 by businessman Asa Packer.', 'The University of Iowa (also known as the UI, U of I, UIowa, or simply Iowa) is a flagship public research university in Iowa City, Iowa.', ' Founded in 1847, it is the oldest university in the state.', ' University of Iowa is organized into eleven colleges offering more than 200 areas of study and seven professional degrees.']"
Were Lee Ji-hye and Shim Eun-jin in the same band?,"[' She was former member of pop group S#arp.', ' She was a former member of 1990s girl group Baby V.O.X.']"
Are Pylon and Team Sleep experimental bands?,"['Pylon were an American rock band from Athens, Georgia.', 'Team Sleep is an American experimental alternative rock/post-rock group led by singer/guitarist Chino Moreno.']"
"Which opera has more acts, The Bassarids or Don Quichotte?","['The Bassarids (in German: ""Die Bassariden "") is an opera in one act and an intermezzo, with music by Hans Werner Henze to an English libretto by W. H. Auden and Chester Kallman, after Euripides\'s ""The Bacchae"".', 'Don Quichotte (""Don Quixote"") is an opera in five acts by Jules Massenet to a French libretto by Henri Caïn.']"
Did Kazuo Ishiguro and Yukio Mishima both move from Japan to England?,"['Kazuo Ishiguro OBE, FRSA, FRSL (Japanese: カズオ・イシグロ or 石黒 一雄 ; born 8 November 1954) is a British novelist, screenwriter and short story writer.', ' He was born in Nagasaki, Japan; his family moved to England in 1960 when he was five.', "" Ishiguro obtained his bachelor's degree from the University of Kent in 1978 and his Master's from the University of East Anglia's creative writing course in 1980."", 'Yukio Mishima (三島 由紀夫 , Mishima Yukio ) is the pen name of Kimitake Hiraoka (平岡 公威 , Hiraoka Kimitake , January 14, 1925November 25, 1970) , a Japanese author, poet, playwright, actor, and film director.', ' Mishima is considered one of the most important Japanese authors of the 20th century.', ' He was considered for the Nobel Prize in Literature in 1968 but the award went to his countryman Yasunari Kawabata.', ' His works include the novels ""Confessions of a Mask"" and ""The Temple of the Golden Pavilion"", and the autobiographical essay ""Sun and Steel"".', ' His avant-garde work displayed a blending of modern and traditional aesthetics that broke cultural boundaries, with a focus on sexuality, death, and political change.', ' Mishima was active as a nationalist and founded his own right-wing militia, the Tatenokai.', ' In 1970, he and three other members of his militia staged an attempted ""coup d\'état"" when they seized control of a Japanese military base and took the commander hostage, then tried and failed to inspire a coup to restore the Emperor\'s pre-war powers.', ' Mishima then committed ritual suicide by ""seppuku"".', ' The coup attempt became known as the ""Mishima Incident"".']"
Were Trembling Before G-d and Zeitgeist both released in 2001?,"['Trembling Before G-d is an 2001 American documentary film about gay and lesbian Orthodox Jews trying to reconcile their sexuality with their faith.', 'Zeitgeist is a series of three documentary films released between 2007 and 2011 that present a number of conspiracy theories, as well as proposals for broad social and economic changes.']"
"Which genus has more species, Cardiospermum or Chestnut?","['Cardiospermum is a genus of approximately 14 species in the soapberry family, Sapindaceae, which are native to the American, Indian, and African tropics.', 'The chestnut group is a genus (Castanea) of eight or nine species of deciduous trees and shrubs in the beech family Fagaceae, native to temperate regions of the Northern Hemisphere.']"
Are both Matt Willis and The Mekons British?,"['Mathew James ""Matt"" Willis (born 8 May 1983), also previously known as Mattie Jay, is an English singer-songwriter, television presenter and actor, best known as the bassist and one of the vocalists of the pop punk band, Busted.', 'The Mekons are a British-American rock band.']"
"While Anatole Litvak and Kinji Fukasaku are both directors, were they both responsible for their own screenplays as well?","['Anatole Litvak (Russian: Анато́ль Литва́к ; May 21, 1902 – December 15, 1974) was a Russian-born American filmmaker who wrote, directed, and produced films in various countries and languages.', 'Kinji Fukasaku (深作 欣二 , Fukasaku Kinji , 3 July 1930 – 12 January 2003) was a Japanese film director and screenwriter.']"
Are both Print and National Journal periodicals?,"['Print, A Quarterly Journal of the Graphic Arts was a limited edition quarterly periodical begun in 1940 and continued under different names up to the present day as Print, a bimonthly American magazine about visual culture and design.', 'National Journal is a research and advisory services company based in Washington, D.C. offering services in government affairs, advocacy communications and policy brands research for government and business leaders.', ' It publishes daily journalism covering politics and public policy and is led by President Kevin Turpin and Editor-in-Chief Stephen G. Smith.']"
What do films The Seafarers and Out of Place have in common?,"[""The Seafarers is Stanley Kubrick's fourth film and third short documentary, made for the Seafarers International Union, directed in June 1953."", 'Out of Place is a surfing documentary directed by Scott Ditzenberger and Darrin McDonald that follows the lives of several lake surfers in Cleveland, Ohio.']"
Are Macropidia and Gum tree both types of trees?,"['Macropidia fuliginosa, the sole species of genus Macropidia, is a perennial rhizomatous flowering plant.', 'Gum tree is a common name for smooth-barked trees and shrubs in three closely related genera of Eucalypt:']"
Was Winnie the Pooh or The Jungle Book released first?,"['Winnie the Pooh is a 2011 American animated buddy musical comedy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures.', ""Rudyard Kipling's The Jungle Book is a 1994 live-action American adventure film co-written and directed by Stephen Sommers, produced by Edward S. Feldman and Raju Patel, from a story by Ronald Yanover and Mark Geldman.""]"
Are both Die Macher and Quoridor German board games?,"['Die Macher is a strategy board game designed by Karl-Heinz Schmiel of Germany.', 'Quoridor is a 2- or 4-player abstract strategy game designed by Mirko Marchesi and published by Gigamic Games.']"
Are musicians Paul Cotton and Cedric Bixler-Zavala both members of a band?,"['Paul Cotton (born Norman Paul Cotton February 26, 1943 in Fort Rucker, Alabama) is an American guitarist and singer-songwriter, most notable as a member of the band Poco and as the writer of the international hit song from that band, ""Heart of the Night"".', 'Cedric Bixler-Zavala (born November 4, 1974 in Redwood City, California) is a Grammy Award-winning American musician known for his work as frontman and lyricist of the progressive rock band The Mars Volta, and as frontman and occasional guitarist of the post-hardcore group At the Drive-In.']"
What to Autograph Collector Magazine and Linux Journal have in common?,"['Autograph Collector Magazine is a U.S. magazine for autograph collectors.', ' The print version was published on a monthly basis.', 'Linux Journal is a monthly technology magazine published by Belltown Media, Inc. (Houston, Texas).']"
Were both Memotech MTX and TEC-1 single-board kit computers?,"['The Memotech MTX500, MTX512 and RS128 were a series of Zilog Z80A processor-based home computers released by Memotech in 1983 and 1984.', 'The TEC-1 is a single-board kit computer first produced by the Australian hobbyist electronics magazine Talking Electronics in the early 1980s.']"
"Who released their debut album first, The Operation M.D. or Framing Hanley ?","['The Operation M.D. (formerly The Operation) is a Canadian garage rock band created by Dr. Dynamite (Cone of Sum 41) and Dr. Rocco (Todd Morse of HO) as a side project to their other bands.', ' The band\'s debut album ""We Have an Emergency"" was released in February 2007 by Aquarius Records.', ' They released their first studio album in August 2007, titled ""The Moment"".']"
"Did both movies, Alice's Birthday and Eleanor's Secret, come out in the same year ?","[""Alice's Birthday (Russian: Де́нь рожде́ния Али́сы , translit."", "" Den' rozhdeniya Alisy), is a 2009 Russian traditionally animated children's science fiction film, directed by Sergey Seryogin and produced by Master-film studio."", ""Eleanor's Secret (original French title Kérity, la maison des contes) is a 2009 Franco-Italian animated feature film directed by Dominique Monféry.""]"
"Which director was from a geographically smaller country, Éric Rohmer or Robert Stevenson?","['Jean Marie Maurice Schérer or Maurice Henri Joseph Schérer, known as Éric Rohmer (] , 21 March 192011 January 2010), was a French film director, film critic, journalist, novelist, screenwriter and teacher.', 'Robert Stevenson (31 March 1905 – 30 April 1986) was an English film writer and director.']"
"Who was born first, Muhammad Iqbal or Ali Qushji?","['Allama Iqbal ( ) (November 9, 1877 – April 21, 1938), widely known as Muhammad Iqbal, was a poet, philosopher, and politician, as well as an academic, barrister and scholar in British India who is widely regarded as having inspired the Pakistan Movement.', 'Ala al-Dīn Ali ibn Muhammed (1403 – 16 December 1474), known as Ali Qushji (Ottoman Turkish/Persian language: علی قوشچی, ""kuşçu"" – falconer in Turkish; Latin: ""Ali Kushgii"") was an astronomer, mathematician and physicist originally from Samarkand, who settled in the Ottoman Empire some time before 1472.']"
"What movie was produced first, Muppet Treasure Island or Honey, I Shrunk the Kids?","['Muppet Treasure Island is a 1996 American musical adventure comedy film based on Robert Louis Stevenson\'s ""Treasure Island"".', 'Honey, I Shrunk the Kids is a 1989 American comic science fiction film.']"
Were Irving Wallace and Muriel Spark writers in the same countries?,"['Irving Wallace (March 19, 1916 – June 29, 1990) was an American best-selling author and screenwriter.', 'Dame Muriel Sarah Spark DBE, CLit, FRSE, FRSL (née Camberg; 1 February 1918 – 13 April 2006) was a Scottish novelist, short story writer, poet and essayist.', ' In 2008, ""The Times"" named Spark as No. 8 in its list of ""the 50 greatest British writers since 1945"".']"
"Fir and Imperata, are a type of tree?","['Firs (Abies) are a genus of 48–56 species of evergreen coniferous trees in the family Pinaceae.', 'Imperata is a small but widespread genus of tropical and subtropical grasses, commonly known as satintails.']"
What insturument type did Dickie Peterson and Ely Buendia have in common?,"['Richard Allan Peterson (September 12, 1946 – October 12, 2009) was an American musician, best known as the bassist and lead singer for Blue Cheer.', 'Eleandre ""Ely"" Basiño Buendia (born November 2, 1970) is a Filipino musician, writer and director who gained fame as guitarist, songwriter and lead vocalist of the popular Filipino rock band Eraserheads.']"
"Which tennis player is older, Billy Martin or Pavel Složil?","['Billy Martin (born December 25, 1956, in Evanston, Illinois, United States), is a right-handed former professional tennis player from the United States.', 'Pavel Složil (born 29 December 1955) is a former professional tennis player from Czechoslovakia.']"
"Which was released first, Dangal or The Wild?","['Dangal (English: ""Wrestling competition"" ) is a 2016 Indian Hindi-language biographical sports drama film loosely based on the story of Mahavir Singh Phogat, an amateur wrestler, who trains his daughters Geeta Phogat and Babita Kumari to be world-class wrestlers.', 'The Wild is a 2006 American 3D computer animated comedy directed by animator Steve ""Spaz"" Williams, and written by Ed Decter, John J. Strauss, Mark Gibson and Philip Halprin.']"
"Which of the two European Space Agency astronauts, Jean-François Clervoy and Thomas Reiter, has participated in missions with NASA?","['Jean-François André Clervoy (born 19 November 1958) is a French engineer and a CNES and ESA astronaut.', ' He is a veteran of three NASA Space Shuttle missions.', 'Thomas Arthur Reiter (born 23 May 1958 in Frankfurt, West Germany) is a retired European astronaut and is a Brigadier General in the German Air Force currently working as ESA Interagency Coordinator and Advisor to the Director General at the European Space Agency (ESA).']"
"Which university graduates more number of students in a year, California Institute of Technology or Boston College?","['The California Institute of Technology (abbreviated Caltech) is a private doctorate-granting university located in Pasadena, California, United States.', 'Boston College (also referred to as BC) is a private Jesuit Catholic research university located in the affluent village of Chestnut Hill, Massachusetts, United States, 6 mi west of downtown Boston.', ' It has 9,100 full-time undergraduates and almost 5,000 graduate students.', "" The university's name reflects its early history as a liberal arts college and preparatory school (now Boston College High School) in Dorchester.""]"
Are both Hottonia and Othonna geniuses of plants?,"['Hottonia is a genus of aquatic flowering plants in the family Primulaceae.', 'Othonna is a genus of African plants in the sunflower family.']"
Are Chilopsis and Austrocedrus both genuses of flowering plants?,"['Chilopsis is a monotypic genus of flowering plants containing the single species Chilopsis linearis.', 'Austrocedrus is a genus of conifer belonging to the cypress family Cupressaceae.']"
Were Ronnie Van Zant and Mick Jones both lead singers of a band?,"['Ronald Wayne Van Zant (January 15, 1948 – October 20, 1977) was an American lead vocalist, primary lyricist, and a founding member of the Southern rock band Lynyrd Skynyrd.', 'Michael Geoffrey ""Mick"" Jones (born 26 June 1955) is a British musician, singer and songwriter best known as the lead guitarist, co-lead vocalist, cofounder and songwriter for The Clash until his dismissal in 1983.']"
Were Kotiliesi and Lear's published in the same country?,"['Kotiliesi (meaning ""Fireside"" in English) is a Finnish language bimonthly family and women\'s magazine published in Helsinki, Finland.', ' The magazine was based in New York City.']"
"The Wild and Do Dooni Chaar, have which film genre in common?","['The Wild is a 2006 American 3D computer animated comedy directed by animator Steve ""Spaz"" Williams, and written by Ed Decter, John J. Strauss, Mark Gibson and Philip Halprin.', 'Do Dooni Chaar (English: ""Two Twos Are Four"" ) is a 2010 Indian Hindi comedy-drama film produced by Arindam Chaudhuri (Planman Motion Pictures), directed by Habib Faisal, and stars Rishi Kapoor, Neetu Singh, Aditi Vasudev and Archit Krishna in lead roles.']"
Which park (Teide National Park or Timanfaya National Park) is located in the Canary Islands in Spain and also is made up of volcanic soil?,"['Teide National Park (Spanish: ""Parque nacional del Teide"" , ] ) is a national park located in Tenerife (Canary Islands, Spain).', 'Timanfaya National Park (Spanish: ""Parque Nacional de Timanfaya"" ) is a Spanish national park in the southwestern part of the island of Lanzarote, Canary Islands.', ' The parkland is entirely made up of volcanic soil.']"
Do both The Life and Times and Beth Orton originate from America?,"['The Life and Times is an American indie rock band from Kansas City, Missouri, active since forming in 2002.', 'Elizabeth Caroline ""Beth"" Orton (born 2 July 1971) is an English singer-songwriter, known for her \'folktronica\' sound, which mixes elements of folk and electronica.']"
"In between Splash and Son of Flubber, which one was directed by Ron Howard?","['Splash is a 1984 American fantasy romantic comedy film directed by Ron Howard, written by Lowell Ganz and Babaloo Mandel, and starring Tom Hanks, Daryl Hannah, John Candy, and Eugene Levy.', 'Son of Flubber is the 1963 sequel to the Walt Disney children\'s sci-fi comedy movie ""The Absent-Minded Professor"" (1961).']"
"Which takes place farther east, The Mosuo Sisters or The Silent Historian?","['The Mosuo Sisters is a 2012 documentary film written and directed by Marlo Poras.', ' Being an ethnic minority in China, the film explores their journey from working at a bar in Beijing to moving back home to their village in the Himalayas, dealing with the modern world impinging upon the traditional Mosuo culture and way of life.', 'The Silent Historian (original title: ""Het zwijgen van Loe de Jong [The Silence of Loe de Jong]"") is a 2011 Dutch documentary film by Simonka de Jong, shown as part of the January 2012 New York Jewish Film Festival, presented in partnership with Jewish Museum and Film Society of Lincoln Center.']"
Were the buildings at 270 Park Avenue and 100 East 53rd Street both designed by Natalie de Blois?,"['270 Park Avenue (also known as the JPMorgan Chase Tower and formerly the Union Carbide Building) is a high-rise office building located in Midtown Manhattan, New York City.', ' It was designed by Natalie de Blois for Skidmore, Owings & Merrill.', '100 East 53rd Street (formerly known as 610 Lexington Avenue) is a residential skyscraper under construction in Midtown Manhattan, New York City.', ' The building’s architect is Norman Foster.']"
"Who was born first, Chaka Khan or Randy Meisner?","['Randy Herman Meisner (born March 8, 1946) is an American former musician, singer and songwriter best known as a founding member of the Eagles and Poco.', 'Chaka Khan (born Yvette Marie Stevens, March 23, 1953) is an American recording artist whose career has spanned five decades, beginning in the 1970s as the frontwoman and focal point of the funk band Rufus.']"
"Who was born first, Dennis Potter or Daniil Kharms?","['Dennis Christopher George Potter (17 May 1935 – 7 June 1994) was an English television dramatist, screenwriter and journalist.', 'Daniil Kharms (Russian: Дании́л Ива́нович Хармс ; 30 December [O.S. 17 December] 1905  – 2 February 1942) was an early Soviet-era surrealist and absurdist poet, writer and dramatist.']"
Were Ideamen and Lit formed in the same states:,"['Ideamen is an art rock band from Chicago, Illinois, formed in 2006.', 'Lit is an American rock band, formed in 1995 in Fullerton, California.']"
In which decade was the Ivel Z3 and the Prológica CP-400 developed in?,"['Ivel Z3 was an Apple IIe compatible computer developed by Ivasim in 1980s.', 'In the middle of 1984 a Brazilian company called Prológica, which made its own versions of 8 bits US computers, brought to the Brazilian market a new equipment for its personal computer series called ""CP"" (shorten of Personal Computer in Portuguese).']"
What level of education does Ateneo de Davao University offer that the University of Minnesota does not?,"['The University of Minnesota, Twin Cities (often referred to as The University of Minnesota, Minnesota, the U of M, UMN, or simply the U) is a public research university in Minneapolis and Saint Paul, Minnesota.', ' The university also runs a grade school and high school.']"
Are Shiba Inu and Leonberger both large dog breeds?,"['The Shiba Inu (柴犬 ) is the smallest of the six original and distinct spitz breeds of dog from Japan.', 'The Leonberger is a giant dog breed.']"
Are Finance and I'm the Boss! both based on cooperation?,"[' The game is based on ""The Landlord\'s Game"" in the movement of pieces around the board, the use of cards, properties that can be purchased, and houses that can be erected on them.', ' It is a negotiation game in which a group of players compete and cooperate to put together profitable business deals.']"
Has Alek Keshishian been the writer for more films than Mark Krikorian?,"['Mark Krikorian has been the executive director of the Center for Immigration Studies, a think-tank in Washington, D. C., since 1995.', ' The Center describes itself as an ""independent, non-partisan research organization"" in Washington, D. C., that examines and critiques the impact of immigration on the United States.', ' Animated by a ""pro-immigrant, low-immigration vision which seeks fewer immigrants, but a warmer welcome for those admitted"", the Center was established in 1985 to provide immigration research.', ' Krikorian is a regular contributor to the conservative publication ""National Review"", and is a regular participant at ""National Review Online\'s"" ""The Corner.""', 'Alek Keshishian (Armenian: Ալեք Գևորգի Քեշիշյան , born 30 July 1964 in Beirut, Lebanon) is an Armenian-American film and commercial director, writer, producer and music video director.']"
The LNW-80 and Amstrad PCW are both what kind of machine?,"['The LNW-80, released in 1982, is the first computer built by LNW Research.', 'The Amstrad PCW series is a range of personal computers produced by British company Amstrad from 1985 to 1998, and also sold under licence in Europe as the ""Joyce"" by the German electronics company Schneider in the early years of the series\' life.']"
